Time,F_gravity,F_spring,F_normal,F_friction,F_suspension
0.0,-12960.0,444.4319999999999,0.0,0.0,0
1e-06,-12960.0,444.47097110535515,0.0,0.0,0
1.9999999999999998e-05,-12960.0,445.21142210710326,0.0,0.0,0
2.9999999999999997e-05,-12960.0,445.60051810684274,0.0,0.0,0
7.999999999999999e-05,-12960.0,447.54532238151256,0.0,0.0,0
8.888888888888888e-05,-12960.0,447.89071533907014,0.0,0.0,0
9.999999999999999e-05,-12960.0,448.32229491408896,0.0,0.0,0
9.999999999999999e-05,-12960.0,448.3222845859153,0.0,0.0,0
0.00030000000000000003,-12960.0,456.0892178078474,0.0,0.0,0
0.00039999999999999996,-12960.0,459.91139435337016,0.0,0.0,0
0.0009,-12960.0,478.9618192664001,0.0,0.0,0
0.0009888888888888888,-12960.0,482.3206593774829,0.0,0.0,0
0.0011,-12960.0,486.49427319520095,0.0,0.0,0
0.0011,-12960.0,486.4838413577308,0.0,0.0,0
0.0031000000000000003,-12960.0,561.4763813956478,0.0,0.0,0
0.0041,-12960.0,593.0548601840636,0.0,0.0,0
0.0091,-12960.0,751.7509046074002,0.0,0.0,0
0.00998888888888889,-12960.0,784.6773999981865,0.0,0.0,0
0.0111,-12960.0,814.1977726820296,0.0,0.0,0
0.0111,-12960.0,802.7498701779405,0.0,0.0,0
0.015900495277564305,-12960.0,929.5027162517637,0.0,0.0,0
0.01830074291634646,-12960.0,968.8708574650091,0.0,0.0,0
0.030301981110257226,-12960.0,1210.892290845188,0.0,0.0,0
0.032435534566952466,-12960.0,1329.6367722317152,0.0,0.0,0
0.035102476387821525,-12960.0,1364.5266752715268,0.0,0.0,0
0.035102476387821525,-12960.0,1231.0612609047841,0.0,0.0,0
0.040798975396261525,-12960.0,1295.8996161768794,0.0,0.0,0
0.04364722490048153,-12960.0,1313.7456916275623,0.0,0.0,0
0.05788847242158154,-12960.0,1438.5418990804412,0.0,0.0,0
0.06042024975866598,-12960.0,1519.2139044367132,0.0,0.0,0
0.06358497143002154,-12960.0,1537.3999240072442,0.0,0.0,0
0.06358497143002154,-12960.0,1435.9347101361507,0.0,0.0,0
0.07058807022284405,-12960.0,1465.3259233071585,0.0,0.0,0
0.07408961961925531,-12960.0,1471.9007860953045,0.0,0.0,0
0.09159736660131161,-12960.0,1531.207429459606,0.0,0.0,0
0.09470985495367717,-12960.0,1585.2593065979213,0.0,0.0,0
0.09860046539413413,-12960.0,1595.3728357923517,0.0,0.0,0
0.09860046539413413,-12960.0,1520.356966023654,0.0,0.0,0
0.10719896296429181,-12960.0,1530.9867951210545,0.0,0.0,0
0.11149821174937065,-12960.0,1532.695934492693,0.0,0.0,0
0.13299445567476487,-12960.0,1556.5628059927697,0.0,0.0,0
0.1368160101503905,-12960.0,1586.5722499184142,0.0,0.0,0
0.14159295324492255,-12960.0,1592.327773007142,0.0,0.0,0
0.14159295324492255,-12960.0,1547.5856955411991,0.0,0.0,0
0.15246013426865807,-12960.0,1550.6440526611555,0.0,0.0,0
0.1578937247805258,-12960.0,1550.8622178689589,0.0,0.0,0
0.18506167733986456,-12960.0,1559.3766395554142,0.0,0.0,0
0.1898915355726359,-12960.0,1573.9565354614513,0.0,0.0,0
0.19592885836360008,-12960.0,1577.4474020385735,0.0,0.0,0
0.19592885836360008,-12960.0,1554.1947228135423,0.0,0.0,0
0.2102197374560773,-12960.0,1554.9049398795719,0.0,0.0,0
0.2173651770023159,-12960.0,1554.8597224779294,0.0,0.0,0
0.25309237473350893,-12960.0,1557.7541963104823,0.0,0.0,0
0.2594438765523877,-12960.0,1564.2098567678527,0.0,0.0,0
0.26738325382598616,-12960.0,1566.426062010311,0.0,0.0,0
0.26738325382598616,-12960.0,1555.2676161632696,0.0,0.0,0
0.28691755475199787,-12960.0,1555.503460287615,0.0,0.0,0
0.2966847052150038,-12960.0,1555.4396591638238,0.0,0.0,0
0.34552045753003313,-12960.0,1557.130534577376,0.0,0.0,0
0.35420236905270497,-12960.0,1561.746009398611,0.0,0.0,0
0.36505475845604485,-12960.0,1564.1753038957288,0.0,0.0,0
0.36505475845604485,-12960.0,1555.186049793256,0.0,0.0,0
0.38975106502079043,-12960.0,1555.5543606118356,0.0,0.0,0
0.40209921830316325,-12960.0,1555.3798569203027,0.0,0.0,0
0.46383998471502724,-12960.0,1559.6261040138377,0.0,0.0,0
0.47481612096602527,-12960.0,1572.6483649305644,0.0,0.0,0
0.4885362912797728,-12960.0,1582.0135006452458,0.0,0.0,0
0.4885362912797728,-12960.0,1553.3003395389724,0.0,0.0,0
0.511209692584872,-12960.0,1555.1355623706206,0.0,0.0,0
0.5225463932374217,-12960.0,1554.4133576753923,0.0,0.0,0
0.5792298965001698,-12960.0,1572.131803230216,0.0,0.0,0
0.5893069637468805,-12960.0,1624.2853684868583,0.0,0.0,0
0.601903297805269,-12960.0,1657.7729927799194,0.0,0.0,0
0.601903297805269,-12960.0,1548.3529373184501,0.0,0.0,0
0.5049691344165307,-12960.0,1554.6304412077807,0.0,0.0,0
0.5131855559849097,-12960.0,1554.4341123260472,0.0,0.0,0
0.5542676638268044,-12960.0,1561.3096331137729,0.0,0.0,0
0.5615711496653634,-12960.0,1578.2502131903022,0.0,0.0,0
0.5707005069635622,-12960.0,1585.2892097511974,0.0,0.0,0
0.5707005069635622,-12960.0,1554.5701052262064,0.0,0.0,0
0.5871333501003201,-12960.0,1555.1689956184707,0.0,0.0,0
0.5953497716686991,-12960.0,1555.0806593534685,0.0,0.0,0
0.6364318795105938,-12960.0,1558.1752737082968,0.0,0.0,0
